YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Air_Pressure,Air_Temperature,CurrDir010,CurrDir020,CurrDir_DCS,CurrSp010,CurrSp020,CurrSp_DCS,Salinity_0m,Salinity_10m,Salinity_20m,Watertemp_0m,Watertemp_10m,Watertemp_20m,WindDirectionGill,WindSpeedGill
2013,7,17,9,0,0,101.972.656,21,13.640.625,12.234.375,1.378.125,5.371.094,6.933.594,3.710.938,3.563.477,3.577.393,3.593.506,2.259.375,2.262.744,2.250.146,7.664.063,386.719
2013,7,17,10,0,0,101.982.422,21.125,140.625,12.515.625,1.378.125,59.375,6.484.375,4.882.813,3.567.139,3.577.026,3.590.576,2.259.375,2.261.133,2.252.637,7.101.563,462.891
2013,7,17,11,0,0,10.203.125,21.125,140.625,135,13.640.625,5.820.313,5.976.563,5.273.438,3.567.505,3.578.491,3.589.844,2.259.375,2.258.496,2.241.797,6.820.313,369.141
2013,7,17,12,0,0,102.041.016,21.75,13.921.875,14.203.125,135,6.171.875,5.878.906,5.273.438,3.579.956,3.584.351,3.589.478,2.259.375,2.251.904,2.252.051,61.875,445.313
2013,7,17,13,0,0,10.203.125,22.625,13.921.875,14.203.125,13.640.625,6.503.906,5.859.375,546.875,3.577.759,3.588.013,3.595.703,226.875,2.264.355,2.254.248,6.257.813,609.375
2013,7,17,14,0,0,101.962.891,22.875,13.921.875,14.484.375,135,6.328.125,5.703.125,546.875,3.573.364,359.021,3.599.365,226.875,2.261.719,2.259.521,646.875,615.234
2013,7,17,15,0,0,101.904.297,23.25,1.378.125,14.203.125,1.378.125,6.445.313,5.742.188,6.054.688,3.571.899,3.590.942,3.596.802,2.278.125,2.257.764,2.243.994,759.375,486.328
2013,7,17,16,0,0,101.757.813,23,14.484.375,1.490.625,14.203.125,65.625,5.273.438,5.664.063,3.571.533,359.021,3.592.773,22.875,2.249.854,2.231.396,9.632.813,515.625
2013,7,17,17,0,0,101.679.688,23.125,146.25,14.765.625,14.203.125,6.679.688,4.902.344,5.664.063,3.570.435,3.594.604,3.600.464,22.875,2.255.566,2.235.059,10.828.125,568.359
2013,7,17,18,0,0,101.650.391,23,140.625,146.25,14.203.125,7.089.844,5.527.344,5.859.375,3.564.941,3.588.379,3.600.464,2.296.875,2.258.496,2.229.639,1.096.875,597.656
2013,7,17,19,0,0,101.660.156,23,1.434.375,14.835.938,140.625,7.148.438,5.947.266,6.054.688,3.561.279,3.590.576,3.600.464,2.296.875,2.255.273,222.832,1.040.625,574.219
2013,7,17,20,0,0,101.699.219,23,146.25,15.046.875,13.921.875,7.207.031,6.367.188,62.5,3.564.209,3.599.731,360.083,2.296.875,2.254.102,2.229.492,984.375,550.781
2013,7,17,21,0,0,10.171.875,22.875,14.203.125,14.484.375,13.921.875,6.992.188,6.699.219,6.054.688,3.553.955,3.598.633,3.599.731,2.296.875,2.251.318,2.243.994,928.125,539.063
2013,7,17,22,0,0,101.728.516,22.875,13.359.375,135,140.625,7.128.906,734.375,6.054.688,3.557.983,3.601.563,3.601.196,230.625,2.247.949,2.245.313,984.375,621.094
2013,7,17,23,0,0,101.748.047,22.875,13.640.625,1.434.375,1.378.125,6.953.125,7.363.281,5.859.375,3.560.547,3.597.168,3.600.098,2.278.125,2.251.025,2.246.338,8.859.375,662.109
2013,7,18,0,0,0,101.748.047,23,13.921.875,14.203.125,1.378.125,6.445.313,7.050.781,5.859.375,3.557.617,3.590.942,3.601.563,2.278.125,225.542,2.241.504,7.453.125,626.953
2013,7,18,1,0,0,101.728.516,22.625,1.321.875,13.359.375,140.625,6.484.375,6.425.781,5.664.063,3.564.575,3.590.942,3.595.703,226.875,2.253.369,2.245.166,6.539.063,802.734
2013,7,18,2,0,0,101.699.219,22.5,13.359.375,1.265.625,1.434.375,5.976.563,6.035.156,5.664.063,3.565.308,3.590.576,35.979,2.278.125,2.252.637,2.252.637,6.539.063,785.156
2013,7,18,3,0,0,101.679.688,22.375,140.625,13.078.125,14.203.125,59.375,5.292.969,5.664.063,3.568.604,3.591.309,3.597.534,226.875,2.250.879,2.243.555,646.875,890.625
2013,7,18,4,0,0,101.650.391,22.375,135,12.234.375,13.921.875,5.761.719,4.960.938,5.859.375,3.567.871,3.590.942,3.592.407,2.259.375,2.251.318,2.241.943,6.117.188,744.141
2013,7,18,5,0,0,101.582.031,22.375,13.078.125,1.209.375,1.378.125,5.957.031,5.039.063,5.664.063,3.568.604,3.586.548,3.599.365,2.259.375,2.249.561,2.234.473,5.835.938,779.297
2013,7,18,6,0,0,101.523.438,22.25,12.796.875,1.153.125,13.640.625,5.585.938,5.039.063,546.875,3.566.772,3.591.309,3.597.168,2.259.375,2.246.631,2.238.428,61.875,691.406
2013,7,18,7,0,0,101.503.906,22,1.265.625,112.5,135,5.410.156,53.125,5.664.063,3.568.237,359.021,3.594.604,2.259.375,2.250.586,2.243.701,5.835.938,6.5625
2013,7,18,8,0,0,101.484.375,22,129.375,118.125,129.375,4.960.938,4.570.313,5.273.438,356.897,3.588.745,3.589.111,22.5,2.249.854,2.243.994,6.117.188,621.094
2013,7,18,9,0,0,101.484.375,21.75,12.234.375,112.5,1.265.625,4.980.469,4.765.625,5.078.125,3.569.702,3.588.013,3.586.914,22.5,2.252.051,2.248.389,6.328.125,638.672
2013,7,18,10,0,0,101.513.672,21.75,1.209.375,1.153.125,12.234.375,4.121.094,4.003.906,4.882.813,3.566.406,3.587.646,3.586.914,22.5,2.250.879,2.248.975,6.046.875,544.922
2013,7,18,11,0,0,101.552.734,21.875,11.671.875,11.390.625,11.953.125,4.511.719,4.472.656,46.875,3.563.477,3.587.646,3.586.914,2.259.375,2.251.025,2.249.268,5.695.313,650.391
2013,7,18,12,0,0,101.591.797,22.375,1.209.375,118.125,11.953.125,3.496.094,359.375,4.296.875,3.563.843,358.728,3.586.548,2.259.375,2.249.561,2.243.701,6.398.438,544.922
2013,7,18,13,0,0,1.015.625,23,11.953.125,1.209.375,1.209.375,3.847.656,3.300.781,4.101.563,3.562.378,3.586.914,3.586.548,226.875,225.249,2.244.873,6.820.313,533.203
2013,7,18,14,0,0,101.494.141,23.75,1.153.125,11.953.125,1.209.375,3.320.313,2.910.156,390.625,3.556.519,3.583.984,3.588.013,2.278.125,2.254.541,2.244.873,6.328.125,439.453
2013,7,18,15,0,0,101.396.484,24.625,106.875,1.153.125,1.209.375,3.359.375,2.988.281,3.710.938,3.549.194,3.583.618,3.588.379,230.625,2.256.885,224.751,61.875,210.938
2013,7,18,16,0,0,101.289.063,25.625,1.096.875,123.75,1.265.625,3.417.969,3.046.875,4.101.563,3.545.898,3.586.548,3.592.773,234.375,2.256.592,2.251.025,8.507.813,210.938
2013,7,18,17,0,0,101.201.172,25.625,1.209.375,12.796.875,1.209.375,3.085.938,3.203.125,3.710.938,3.545.898,358.252,35.979,2.409.375,2.261.279,2.263.037,12.585.938,222.656
2013,7,18,18,0,0,101.132.813,24.875,1.096.875,12.515.625,12.234.375,2.695.313,3.144.531,390.625,3.539.673,358.252,35.979,24,2.265.381,2.263.184,10.757.813,3.75
2013,7,18,19,0,0,101.142.578,25.125,101.25,123.75,123.75,3.300.781,328.125,3.710.938,3.540.039,3.583.252,3.597.534,238.125,2.265.967,2.261.426,11.039.063,433.594
2013,7,18,20,0,0,101.191.406,24.875,1.040.625,12.445.313,11.953.125,3.134.766,3.076.172,3.417.969,3.546.631,3.583.984,3.594.604,2.353.125,2.267.285,226.084,10.125.001,454.101
2013,7,18,21,0,0,1012.5,24.125,106.875,12.515.625,1.153.125,296.875,2.871.094,31.25,3.546.265,3.584.717,359.021,2.353.125,2.266.699,226.377,9.210.938,474.609
2013,7,18,22,0,0,101.328.125,23.875,118.125,1.321.875,11.109.375,2.558.594,2.929.688,31.25,3.547.729,3.585.815,3.591.309,2.334.375,2.264.648,2.262.012,8.648.438,457.031
2013,7,18,23,0,0,101.396.484,23.875,1.209.375,1.265.625,118.125,2.460.938,296.875,2.929.688,3.550.659,358.728,3.592.773,23.25,2.262.598,2.262.012,8.648.438,369.141
2013,7,19,0,0,0,101.435.547,23.5,13.078.125,1.265.625,12.515.625,2.675.781,3.105.469,2.734.375,3.549.561,358.728,3.590.576,23.25,2.261.133,2.259.521,7.664.063,328.125
2013,7,19,1,0,0,101.474.609,23.875,1.321.875,1.265.625,12.796.875,25,2.988.281,2.929.688,355.542,3.587.646,3.589.478,23.25,2.259.229,2.258.057,590.625,439.453
2013,7,19,2,0,0,101.474.609,23.625,140.625,13.078.125,1.265.625,2.167.969,2.285.156,2.929.688,3.553.223,3.587.646,3.588.745,23.25,2.256.006,2.251.904,7.523.438,316.406
2013,7,19,3,0,0,101.435.547,23.125,129.375,11.953.125,12.515.625,2.402.344,2.441.406,2.734.375,3.555.054,3.587.646,3.588.379,2.315.625,2.257.324,2.251.318,7.523.438,462.891
2013,7,19,4,0,0,101.435.547,23.125,12.234.375,11.390.625,12.796.875,2.011.719,1.972.656,2.734.375,3.559.082,3.587.646,3.586.182,230.625,225.835,224.707,4.429.688,427.734
2013,7,19,5,0,0,101.396.484,23,1.378.125,12.796.875,13.078.125,1.699.219,1.484.375,2.539.063,3.559.814,358.728,3.586.182,230.625,226.084,2.248.535,534.375,351.563
2013,7,19,6,0,0,101.308.594,22.875,1.321.875,135,1.265.625,2.363.281,2.167.969,2.539.063,3.560.547,3.588.013,3.586.182,2.296.875,2.265.088,2.251.025,5.484.375,462.891
2013,7,19,7,0,0,101.279.297,22.875,118.125,11.953.125,1.265.625,1.660.156,1.464.844,2.539.063,3.561.279,3.586.548,3.586.182,22.875,2.260.986,2.254.248,50.625,427.734
2013,7,19,9,0,0,101.318.359,22.75,118.125,12.515.625,129.375,1.816.406,1.738.281,2.539.063,3.556.519,3.586.548,3.585.815,22.875,2.261.133,2.257.471,45,427.734
2013,7,19,10,0,0,101.376.953,22.5,11.109.375,118.125,1.209.375,1.933.594,2.070.313,2.539.063,3.556.152,358.728,3.586.548,22.875,2.265.088,2.264.502,3.726.563,310.547
2013,7,19,11,0,0,101.435.547,22.875,11.671.875,11.671.875,12.234.375,2.265.625,2.265.625,2.539.063,3.554.321,3.585.083,3.585.815,22.875,227.373,2.261.133,3.726.563,316.406
2013,7,19,12,0,0,101.455.078,23.5,1.096.875,11.109.375,118.125,1.972.656,2.207.031,2.539.063,3.552.856,3.585.449,3.585.815,22.875,227.168,2.259.521,3.585.938,298.828
2013,7,19,13,0,0,101.425.781,24.125,11.390.625,11.390.625,12.796.875,2.246.094,203.125,2.734.375,3.551.392,3.583.618,3.585.815,2.296.875,2.268.457,2.263.623,4.148.438,345.703
2013,7,19,14,0,0,10.140.625,25.25,12.515.625,13.078.125,12.796.875,21.875,1.679.688,31.25,3.548.096,3.582.886,3.586.182,23.25,2.270.068,2.262.451,478.125,263.672
2013,7,19,15,0,0,101.308.594,26.25,11.671.875,112.5,12.234.375,2.167.969,1.914.063,31.25,3.549.194,3.580.322,3.585.815,2.390.625,2.266.992,2.263.184,78.75,152.344
2013,7,19,16,0,0,101.220.703,26.125,11.109.375,984.375,118.125,1.777.344,2.167.969,31.25,3.540.771,3.579.224,3.586.914,2.446.875,2.266.846,226.377,11.601.563,275.391
2013,7,19,17,0,0,101.162.109,25.375,1.209.375,106.875,1.153.125,1.699.219,2.285.156,31.25,3.544.067,3.579.224,3.585.449,241.875,2.266.846,2.265.234,11.109.375,357.422
2013,7,19,18,0,0,101.259.766,25.125,1.040.625,8.578.125,106.875,2.226.563,1.972.656,2.734.375,3.548.828,3.579.224,3.584.351,2.409.375,2.268.457,2.266.406,2.221.875,480.469
2013,7,19,19,0,0,101.337.891,23.75,12.515.625,101.25,8.859.375,1.835.938,1.601.563,3.320.313,3.546.265,357.959,3.584.717,2.353.125,2.268.457,2.266.846,25.664.063,480.469
2013,7,19,20,0,0,101.328.125,23.125,12.515.625,11.671.875,8.859.375,1.972.656,1.523.438,3.710.938,3.549.927,3.578.857,3.584.351,2.315.625,226.875,2.268.018,27.773.438,351.563
2013,7,19,21,0,0,101.367.188,22.875,11.109.375,11.109.375,9.140.625,2.597.656,2.167.969,390.625,3.552.124,3.578.491,3.584.351,230.625,2.269.336,2.267.578,31.570.313,398.438
2013,7,19,22,0,0,101.425.781,23,9.703.125,95.625,8.578.125,3.300.781,2.871.094,4.296.875,3.554.321,3.571.533,3.583.984,230.625,2.277.686,2.268.311,27.351.563,820.313
2013,7,19,23,0,0,101.523.438,23,101.25,106.875,90,3.085.938,2.617.188,4.492.188,3.556.152,3.571.899,3.583.252,2.296.875,2.275.928,2.269.189,27.984.375,966.797
2013,7,20,0,0,0,101.582.031,23,9.703.125,9.984.375,8.859.375,34.375,2.832.031,4.296.875,3.557.617,3.570.068,3.577.393,22.875,2.279.297,2.270.801,27.703.125,849.609
2013,7,20,1,0,0,101.601.563,23,9.703.125,1.153.125,871.875,4.023.438,2.871.094,390.625,3.556.519,3.565.308,3.577.759,22.875,2.291.016,2.268.018,27.703.125,714.844
2013,7,20,2,0,0,101.630.859,22.875,8.296.875,101.25,8.859.375,359.375,2.539.063,3.710.938,3.556.152,3.565.674,3.581.055,22.875,2.284.131,2.267.432,29.179.688,755.859
2013,7,20,3,0,0,101.533.203,23,10.546.875,12.515.625,9.421.875,3.339.844,2.402.344,3.515.625,3.555.786,3.566.772,3.583.252,22.875,2.281.934,2.266.406,303.75,556.641
2013,7,20,4,0,0,101.503.906,22.75,10.546.875,11.671.875,95.625,3.984.375,3.144.531,3.515.625,3.551.025,356.311,3.579.224,2.278.125,2.284.424,2.264.209,29.390.625,5.625
2013,7,20,5,0,0,101.435.547,22.75,112.5,1.265.625,95.625,328.125,2.851.563,3.320.313,3.553.223,3.562.744,3.578.125,2.278.125,2.282.373,2.267.725,28.195.313,509.766
2013,7,20,6,0,0,101.376.953,22.875,10.265.625,1.265.625,9.703.125,2.910.156,2.617.188,3.320.313,3.553.223,3.561.279,3.577.026,2.278.125,2.280.615,2.268.164,24.609.375,316.406
2013,7,20,7,0,0,101.328.125,22.75,10.828.125,13.078.125,9.703.125,3.242.188,3.339.844,3.320.313,3.552.124,356.604,3.575.562,2.278.125,227.417,2.268.164,1.603.125,345.703
2013,7,20,8,0,0,101.337.891,22.625,12.234.375,129.375,1.040.625,265.625,3.476.563,3.222.657,3.551.758,3.560.547,3.572.266,2.278.125,2.280.469,2.265.234,1.153.125,146.484
2013,7,20,9,0,0,101.357.422,22.625,12.796.875,129.375,11.109.375,3.046.875,37.5,31.25,3.551.758,3.559.082,3.570.801,2.278.125,2.280.029,2.266.846,1.096.875,199.219
2013,7,20,10,0,0,101.416.016,21.75,12.515.625,13.078.125,112.5,3.925.781,4.628.906,3.320.313,355.249,3.559.082,356.311,2.278.125,2.281.934,2.274.609,351.563,234.375
2013,7,20,11,0,0,101.464.844,22.25,1.265.625,12.515.625,11.671.875,453.125,4.609.375,390.625,3.553.589,3.560.547,3.559.814,2.278.125,228.208,2.278.125,34.101.563,140.625
2013,7,20,12,0,0,101.445.313,22.375,123.75,123.75,11.390.625,421.875,4.511.719,4.296.875,3.549.561,355.835,3.557.251,22.875,2.279.736,2.280.615,3.796.875,304.688
2013,7,20,13,0,0,101.435.547,22.75,1.265.625,123.75,118.125,4.863.281,5.585.938,4.296.875,3.542.969,3.556.152,3.556.885,22.875,2.284.131,2.274.463,61.875,199.219
2013,7,20,14,0,0,101.347.656,23.25,12.164.063,1.209.375,11.601.563,4.423.828,5.410.157,4.296.875,3.543.701,3.550.659,3.553.589,230.625,2.285.889,2.278.271,8.824.219,249.024
2013,7,20,15,0,0,101.259.766,23.25,11.671.875,118.125,11.390.625,3.984.375,5.234.375,4.296.875,3.543.335,3.550.293,3.553.223,23.25,2.285.742,227.417,11.460.938,298.828
2013,7,20,16,0,0,101.152.344,23.25,12.515.625,118.125,1.153.125,515.625,5.742.188,3.710.938,354.187,3.550.293,3.551.025,230.625,2.281.494,2.272.559,1.153.125,580.078
2013,7,20,17,0,0,101.015.625,23.25,1.321.875,12.515.625,1.209.375,4.394.531,5.253.906,3.320.313,354.187,3.551.392,3.550.659,230.625,227.666,2.269.629,10.546.875,615.234
2013,7,20,18,0,0,100.947.266,23.5,1.209.375,1.153.125,1.265.625,484.375,5.703.125,31.25,3.543.335,3.549.927,3.550.659,230.625,2.278.418,2.265.381,10.828.125,644.531
2013,7,20,19,0,0,100.927.734,23.875,12.515.625,11.390.625,1.265.625,4.609.375,5.839.844,3.320.313,3.545.532,3.551.025,3.548.828,230.625,2.293.213,2.270.654,10.476.563,609.375
2013,7,20,20,0,0,100.917.969,24.25,12.796.875,12.234.375,12.515.625,546.875,5.996.094,390.625,3.539.307,3.549.927,3.547.729,2.296.875,230.127,2.272.119,90,7.5
2013,7,20,21,0,0,100.927.734,24,1.209.375,11.671.875,123.75,4.804.688,5.410.156,3.515.625,3.540.039,3.548.462,3.547.729,22.875,227.168,227.168,8.648.438,761.719
2013,7,20,22,0,0,100.996.094,24.875,123.75,12.234.375,1.209.375,4.863.281,5.097.656,390.625,3.541.138,3.548.462,3.547.363,2.296.875,2.285.449,2.272.412,6.890.625,685.547
2013,7,20,23,0,0,101.044.922,24.75,1.209.375,1.153.125,11.953.125,5.175.781,578.125,4.101.563,353.894,3.547.363,3.546.631,22.875,228.999,2.272.852,67.5,814.453
2013,7,21,0,0,0,101.005.859,24.625,12.515.625,11.953.125,12.234.375,4.726.563,4.921.875,4.296.875,3.536.743,3.545.166,3.545.532,22.875,2.288.525,2.274.609,6.398.438,955.078
2013,7,21,1,0,0,100.996.094,24.25,12.796.875,1.265.625,11.953.125,5.136.719,4.863.281,4.296.875,3.536.011,3.544.434,35.448,2.278.125,2.277.686,2.275.049,6.609.375,9.375
2013,7,21,2,0,0,100.996.094,24,1.378.125,13.640.625,12.234.375,5.527.344,5.078.125,4.492.188,3.534.546,3.542.603,3.542.969,2.278.125,227.666,2.275.781,6.679.688,884.766
2013,7,21,3,0,0,100.957.031,23.75,13.359.375,1.321.875,13.078.125,4.941.406,4.882.813,4.296.875,3.533.813,3.541.504,354.187,2.278.125,2.278.711,2.275.781,6.609.375,890.625
2013,7,21,4,0,0,100.947.266,23.75,13.359.375,1.265.625,135,5.273.438,5.605.469,4.101.563,353.418,3.540.405,3.542.969,2.278.125,2.278.857,227.417,6.328.125,808.594
2013,7,21,5,0,0,100.957.031,23.625,135,129.375,13.359.375,5.195.313,5.742.188,4.296.875,3.533.813,354.187,3.541.504,2.278.125,2.277.979,2.274.609,703.125,662.109
2013,7,21,6,0,0,100.927.734,23.5,129.375,12.234.375,129.375,5.488.281,5.976.563,4.296.875,3.533.813,3.540.405,3.540.405,2.278.125,2.280.615,2.279.004,6.398.438,685.547
2013,7,21,7,0,0,100.976.563,23.625,14.203.125,1.378.125,1.265.625,4.824.219,5.078.125,4.492.188,3.533.447,3.540.405,3.540.405,2.278.125,2.280.469,227.915,6.328.125,503.906
2013,7,21,8,0,0,101.015.625,23.375,135,129.375,1.265.625,5.175.781,5.351.563,4.101.563,3.533.447,3.540.405,3.540.039,2.278.125,2.280.029,227.915,7.242.188,3.75
2013,7,21,9,0,0,101.074.219,23.375,14.203.125,129.375,1.321.875,4.511.719,5.097.656,390.625,3.533.447,3.540.039,3.540.039,2.278.125,2.281.641,2.278.271,6.398.438,662.109
2013,7,21,10,0,0,10.109.375,23.625,146.25,135,135,4.453.125,4.882.813,4.101.563,3.531.982,3.540.771,3.539.673,22.875,2.281.494,2.278.418,7.242.188,685.547
2013,7,21,11,0,0,101.191.406,23.875,14.765.625,129.375,13.640.625,50,5.507.813,4.296.875,353.125,353.894,3.542.603,22.875,2.283.105,226.875,6.820.313,609.375
2013,7,21,12,0,0,101.279.297,24.25,13.921.875,12.515.625,1.321.875,5.097.656,5.859.375,4.296.875,3.530.151,3.538.574,3.542.236,22.875,2.280.322,227.124,6.679.688,556.641
