/SiMCosta RJ-1 buoy 
/L1 data
/missing = NULL
/latitude = -22.9616
/longitude = -43.12483
/Sensor Mount = Buoy
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND: Date/Time Data Acquisition (UTC)
/Avg_Air_Press: Average Air Pressure (mb)
/Avg_Air_Tmp: Average Air Temperature (degree Celsius)
/Avg_Hmt: Average Humidity (%)
/Avg_Wnd_Sp: Average Wind Speed (m/s)
/Avg_Wnd_Dir: Average Wind Direction (degree, magnetic north)
/Avg_Wnd_Dir_N: Average Wind Direction (degree, true north)
/M_Decl: Magnetic Declination (degree)
/Avg_Sol_Rad: Average Solar Radiation Reading (W/m²)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Avg_Air_Press,Avg_Air_Tmp,Avg_Hmt,Avg_Wnd_Sp,Avg_Wnd_Dir,Avg_Wnd_Dir_N,M_Decl,Avg_Sol_Rad
2015,7,31,1,25,00,1021.33,22.00,93.30,0.50,217.00,194.45,-22.55,43.68
2015,7,31,2,25,00,1021.34,22.10,93.10,1.40,268.00,245.45,-22.55,43.22
2015,7,31,3,25,00,1021.19,22.10,94.50,2.50,285.00,262.45,-22.55,41.52
2015,7,31,4,25,00,1020.72,22.00,94.30,1.60,246.00,223.45,-22.55,41.97
2015,7,31,5,25,00,1020.32,21.90,95.00,2.60,256.00,233.45,-22.55,42.91
2015,7,31,6,25,00,1020.08,21.80,94.80,1.40,256.00,233.45,-22.55,43.28
2015,7,31,7,25,00,1019.79,21.80,93.40,0.90,207.00,184.45,-22.55,42.84
2015,7,31,8,25,00,1020.06,21.90,92.80,0.90,188.00,165.45,-22.55,45.37
2015,7,31,9,25,00,1020.66,21.60,93.90,1.70,99.00,76.45,-22.55,45.66
2015,7,31,10,25,00,1021.14,21.50,92.40,1.70,26.00,3.45,-22.55,98.00
2015,7,31,11,25,00,1021.67,22.30,88.50,0.90,63.00,40.45,-22.55,271.84
2015,7,31,12,25,00,1022.37,22.20,89.10,1.50,159.00,136.45,-22.55,414.93
2015,7,31,13,25,00,1022.57,22.40,89.30,2.10,158.00,135.45,-22.55,547.78
2015,7,31,14,25,00,1022.03,22.30,90.00,3.30,154.00,131.45,-22.55,710.15
2015,7,31,15,25,00,1021.05,22.50,87.40,3.70,161.00,138.45,-22.55,747.21
2015,7,31,16,25,00,1019.96,22.20,89.50,3.50,164.00,141.45,-22.55,749.56
2015,7,31,17,25,00,1019.24,22.40,87.80,4.00,164.00,141.45,-22.55,642.02
2015,7,31,18,25,00,1018.92,22.40,89.00,4.50,155.00,132.45,-22.55,491.06
2015,7,31,19,25,00,1019.02,22.70,88.30,4.70,154.00,131.45,-22.55,305.01
2015,7,31,20,25,00,1019.08,22.80,89.10,5.20,143.00,120.45,-22.55,71.43
2015,7,31,21,25,00,1019.40,22.90,89.80,3.50,151.00,128.45,-22.55,45.67
2015,7,31,22,25,00,1020.02,22.50,91.20,3.40,148.00,125.45,-22.55,44.05
2015,7,31,23,25,00,1020.88,22.50,91.60,1.50,171.00,148.45,-22.55,43.70
2015,8,1,0,25,00,1021.16,22.20,93.60,2.20,270.00,247.44,-22.56,41.59
2015,8,1,1,25,00,1021.47,22.10,95.20,1.70,289.00,266.44,-22.56,42.21
2015,8,1,2,25,00,1021.50,22.90,83.70,1.70,51.00,28.44,-22.56,44.29
2015,8,1,3,25,00,1021.01,22.40,84.40,3.30,38.00,15.44,-22.56,44.65
2015,8,1,4,25,00,1020.51,22.30,84.50,3.70,43.00,20.44,-22.56,43.60
2015,8,1,5,25,00,1019.74,21.90,87.30,3.50,46.00,23.44,-22.56,43.75
2015,8,1,6,25,00,1019.26,21.50,90.00,3.80,41.00,18.44,-22.56,41.99
2015,8,1,7,25,00,1019.00,21.10,92.60,3.80,30.00,7.44,-22.56,43.25
2015,8,1,8,25,00,1019.21,21.30,93.60,4.10,18.00,355.44,-22.56,42.67
2015,8,1,9,25,00,1019.77,21.30,93.40,2.80,16.00,353.44,-22.56,46.01
2015,8,1,10,25,00,1020.03,21.30,93.40,3.20,32.00,9.44,-22.56,83.57
2015,8,1,11,25,00,1020.48,21.20,93.20,4.40,23.00,0.44,-22.56,193.43
2015,8,1,12,25,00,1021.16,21.70,90.30,2.90,20.00,357.44,-22.56,449.01
2015,8,1,13,25,00,1021.60,21.90,90.80,2.00,344.00,321.44,-22.56,608.19
2015,8,1,14,25,00,1021.29,22.60,88.20,1.50,165.00,142.44,-22.56,734.29
2015,8,1,15,25,00,1020.63,22.70,88.40,1.80,157.00,134.44,-22.56,819.67
2015,8,1,16,25,00,1019.61,23.90,81.90,0.40,107.00,84.44,-22.56,775.83
2015,8,1,17,25,00,1018.28,25.10,66.40,1.50,321.00,298.44,-22.56,669.25
2015,8,1,18,25,00,1017.89,25.50,65.00,2.80,349.00,326.44,-22.56,502.78
2015,8,1,19,25,00,1017.88,23.90,87.90,3.20,137.00,114.44,-22.56,302.24
2015,8,1,20,25,00,1017.65,23.20,83.00,5.80,144.00,121.44,-22.56,70.32
2015,8,1,21,25,00,1017.63,23.50,81.20,3.70,139.00,116.44,-22.56,46.65
2015,8,1,22,25,00,1018.17,23.50,78.00,1.40,230.00,207.44,-22.56,43.78
2015,8,1,23,25,00,1018.53,22.80,85.10,2.50,256.00,233.44,-22.56,43.53
2015,8,2,0,25,00,1018.93,22.60,91.60,2.00,243.00,220.44,-22.56,43.52
2015,8,2,1,25,00,1019.20,22.30,95.20,1.80,265.00,242.44,-22.56,43.03
2015,8,2,2,25,00,1019.16,22.10,94.60,1.30,314.00,291.44,-22.56,43.47
2015,8,2,3,25,00,1018.77,23.00,72.00,3.30,19.00,356.44,-22.56,44.92
2015,8,2,4,25,00,1018.38,22.80,82.20,3.80,8.00,345.44,-22.56,46.30
2015,8,2,5,25,00,1017.82,22.50,82.50,4.10,13.00,350.44,-22.56,44.43
2015,8,2,6,25,00,1017.55,22.00,77.70,1.40,70.00,47.44,-22.56,42.48
2015,8,2,7,25,00,1017.26,21.90,79.70,3.70,11.00,348.44,-22.56,43.93
2015,8,2,8,25,00,1017.09,21.60,80.00,4.00,21.00,358.44,-22.56,44.55
2015,8,2,9,25,00,1017.65,21.30,82.40,4.60,21.00,358.44,-22.56,43.52
2015,8,2,10,25,00,1018.30,21.50,81.30,4.20,15.00,352.44,-22.56,145.93
2015,8,2,11,25,00,1018.82,21.90,78.30,3.80,17.00,354.44,-22.56,326.43
2015,8,2,12,25,00,1019.25,22.50,77.80,4.10,2.00,339.44,-22.56,492.14
2015,8,2,13,25,00,1019.19,22.50,77.80,4.60,352.00,329.44,-22.56,638.14
2015,8,2,14,25,00,1018.65,23.10,76.10,4.10,349.00,326.44,-22.56,723.05
2015,8,2,15,25,00,1017.88,24.20,71.20,2.40,358.00,335.44,-22.56,759.59
2015,8,2,16,25,00,1017.10,23.30,85.90,4.20,148.00,125.44,-22.56,347.51
2015,8,2,17,25,00,1016.22,23.70,79.90,3.80,122.00,99.44,-22.56,327.77
2015,8,2,18,25,00,1015.73,24.10,85.30,3.60,145.00,122.44,-22.56,463.09
2015,8,2,19,25,00,1015.39,24.30,80.20,5.50,132.00,109.44,-22.56,290.83
2015,8,2,20,25,00,1015.43,25.50,64.50,4.50,116.00,93.44,-22.56,66.65
2015,8,2,21,25,00,1015.92,25.00,69.80,4.10,118.00,95.44,-22.56,45.08
2015,8,2,22,25,00,1016.50,24.90,68.20,3.60,137.00,114.44,-22.56,46.62
2015,8,2,23,25,00,1016.94,24.10,72.90,1.60,109.00,86.44,-22.56,44.03
2015,8,3,0,25,00,1017.28,23.30,77.30,1.60,283.00,260.44,-22.56,43.45
2015,8,3,1,25,00,1017.50,23.70,75.60,3.30,22.00,359.44,-22.56,43.12
2015,8,3,2,25,00,1017.55,23.20,72.40,3.10,22.00,359.44,-22.56,43.83
2015,8,3,3,25,00,1017.21,23.30,69.00,4.00,21.00,358.44,-22.56,48.05
2015,8,3,4,25,00,1017.01,22.70,70.80,4.20,6.00,343.44,-22.56,46.97
2015,8,3,5,25,00,1016.79,22.30,71.90,2.80,8.00,345.44,-22.56,43.52
2015,8,3,6,25,00,1016.45,22.10,73.10,3.90,10.00,347.44,-22.56,44.90
2015,8,3,7,25,00,1016.25,22.10,71.30,3.40,8.00,345.44,-22.56,44.19
2015,8,3,8,25,00,1016.03,22.00,72.50,4.00,31.00,8.44,-22.56,43.58
2015,8,3,9,25,00,1016.23,22.30,62.40,4.80,22.00,359.44,-22.56,43.35
2015,8,3,10,25,00,1016.81,21.90,67.00,4.10,12.00,349.44,-22.56,144.33
2015,8,3,11,25,00,1017.16,22.80,66.30,4.60,9.00,346.44,-22.56,340.26
2015,8,3,12,25,00,1017.81,23.60,62.00,4.20,23.00,0.44,-22.56,509.84
2015,8,3,13,25,00,1018.07,24.90,59.80,3.60,13.00,350.44,-22.56,645.24
2015,8,3,14,25,00,1018.00,26.10,59.50,2.30,345.00,322.44,-22.56,706.16
2015,8,3,15,25,00,1017.74,24.60,74.40,3.10,272.00,249.44,-22.56,749.82
2015,8,3,16,25,00,1017.35,24.10,82.00,1.20,171.00,148.44,-22.56,748.16
2015,8,3,17,25,00,1016.92,24.20,80.40,2.80,163.00,140.44,-22.56,677.94
2015,8,3,18,25,00,1016.72,24.40,79.80,2.60,132.00,109.44,-22.56,525.85
2015,8,3,19,25,00,1016.64,25.00,76.40,1.30,156.00,133.44,-22.56,283.61
2015,8,3,20,25,00,1016.95,24.60,82.90,1.00,235.00,212.44,-22.56,74.86
2015,8,3,21,25,00,1017.29,23.40,88.30,0.90,153.00,130.44,-22.56,48.77
2015,8,3,22,25,00,1017.46,22.60,90.10,1.40,287.00,264.44,-22.56,46.66
2015,8,3,23,25,00,1017.75,23.70,66.80,2.50,339.00,316.44,-22.56,44.39
2015,8,4,0,25,00,1017.89,23.30,70.60,1.10,285.00,262.44,-22.56,45.77
2015,8,4,1,25,00,1017.97,24.40,56.10,2.90,335.00,312.44,-22.56,43.25
2015,8,4,2,25,00,1017.96,24.40,58.50,4.00,24.00,1.44,-22.56,43.57
2015,8,4,3,25,00,1018.06,23.40,64.60,4.10,30.00,7.44,-22.56,42.98
2015,8,4,4,25,00,1017.80,23.00,73.70,5.30,11.00,348.44,-22.56,44.50
2015,8,4,5,25,00,1017.54,22.60,79.50,5.50,6.00,343.44,-22.56,44.69
2015,8,4,6,25,00,1016.73,22.20,70.80,5.90,8.00,345.44,-22.56,44.96
2015,8,4,7,25,00,1016.77,22.80,63.00,4.20,20.00,357.44,-22.56,46.02
2015,8,4,8,25,00,1016.93,22.30,65.30,4.90,14.00,351.44,-22.56,46.07
2015,8,4,9,25,00,1017.66,21.90,69.10,2.90,355.00,332.44,-22.56,42.67
2015,8,4,10,25,00,1018.44,21.90,68.70,4.30,8.00,345.44,-22.56,128.00
2015,8,4,11,25,00,1018.78,22.30,68.30,5.50,2.00,339.44,-22.56,328.76
2015,8,4,12,25,00,1019.52,23.40,66.30,4.90,16.00,353.44,-22.56,492.97
2015,8,4,13,25,00,1019.67,23.80,70.50,4.00,354.00,331.44,-22.56,651.13
2015,8,4,14,25,00,1019.26,25.20,64.00,3.60,360.00,337.44,-22.56,726.12
2015,8,4,15,25,00,1018.78,26.20,54.30,3.30,319.00,296.44,-22.56,730.18
2015,8,4,16,25,00,1018.21,24.30,77.10,3.20,254.00,231.44,-22.56,696.47
2015,8,4,17,25,00,1018.00,24.50,82.00,3.50,212.00,189.44,-22.56,623.71
2015,8,4,18,25,00,1018.25,24.60,78.00,2.40,209.00,186.44,-22.56,456.70
2015,8,4,19,25,00,1018.55,24.00,81.10,2.70,183.00,160.44,-22.56,307.43
2015,8,4,20,25,00,1018.85,23.10,86.40,2.50,177.00,154.44,-22.56,86.65
2015,8,4,21,25,00,1018.79,22.70,87.00,2.80,155.00,132.44,-22.56,44.47
2015,8,4,22,25,00,1019.37,22.30,90.50,2.70,313.00,290.44,-22.56,45.97
2015,8,4,23,25,00,1019.97,22.90,79.60,2.50,229.00,206.44,-22.56,42.00
2015,8,5,0,25,00,1019.94,22.30,94.10,3.60,258.00,235.44,-22.56,42.69
2015,8,5,1,25,00,1019.89,22.10,95.00,2.70,247.00,224.44,-22.56,43.11
2015,8,5,2,25,00,1019.87,21.90,93.80,1.40,231.00,208.44,-22.56,42.59
2015,8,5,3,25,00,1019.74,21.40,95.40,1.60,56.00,33.44,-22.56,42.16
2015,8,5,4,25,00,1019.18,21.60,76.40,2.60,12.00,349.44,-22.56,43.35
2015,8,5,5,25,00,1018.55,21.70,68.70,4.00,29.00,6.44,-22.56,41.58
2015,8,5,6,25,00,1018.31,21.30,80.30,2.50,62.00,39.44,-22.56,42.58
2015,8,5,7,25,00,1018.29,20.80,84.10,1.30,74.00,51.44,-22.56,41.57
2015,8,5,8,25,00,1018.03,20.60,86.20,1.50,45.00,22.44,-22.56,40.86
2015,8,5,9,25,00,1018.52,20.60,86.40,3.00,23.00,0.44,-22.56,39.01
2015,8,5,10,25,00,1019.07,20.70,86.50,3.20,18.00,355.44,-22.56,123.05
2015,8,5,11,25,00,1019.87,21.00,81.20,1.30,78.00,55.44,-22.56,312.06
2015,8,5,12,25,00,1020.33,21.70,81.70,1.80,355.00,332.44,-22.56,501.18
2015,8,5,13,25,00,1020.15,21.90,82.10,4.60,346.00,323.44,-22.56,631.16
2015,8,5,14,25,00,1019.87,22.60,82.40,2.20,1.00,338.44,-22.56,713.48
2015,8,5,15,25,00,1019.26,22.80,80.80,3.50,146.00,123.44,-22.56,743.12
2015,8,5,16,25,00,1018.60,22.60,81.40,3.80,158.00,135.44,-22.56,692.33
2015,8,5,17,25,00,1017.87,23.30,77.20,4.40,147.00,124.44,-22.56,473.69
2015,8,5,18,25,00,1017.58,22.90,87.00,4.90,156.00,133.44,-22.56,513.74
2015,8,5,19,25,00,1017.26,23.40,82.50,5.40,149.00,126.44,-22.56,331.65
2015,8,5,20,25,00,1017.32,23.30,84.40,5.40,140.00,117.44,-22.56,107.27
2015,8,5,21,25,00,1017.32,23.60,79.20,1.80,136.00,113.44,-22.56,47.95
2015,8,5,22,25,00,1017.66,23.10,88.30,1.90,160.00,137.44,-22.56,47.33
2015,8,5,23,25,00,1017.74,22.40,91.20,0.60,341.00,318.44,-22.56,43.46
2015,8,6,0,25,00,1018.02,22.00,93.00,1.90,272.00,249.44,-22.56,41.48
2015,8,6,1,25,00,1018.25,22.30,84.80,1.10,28.00,5.44,-22.56,42.59
2015,8,6,2,25,00,1018.53,22.40,83.80,0.90,336.00,313.44,-22.56,42.02
2015,8,6,3,25,00,1018.22,22.10,80.60,1.60,99.00,76.44,-22.56,43.36
2015,8,6,4,25,00,1018.08,21.70,82.30,0.70,51.00,28.44,-22.56,45.40
2015,8,6,5,25,00,1017.85,21.70,79.80,2.20,29.00,6.44,-22.56,41.58
2015,8,6,6,25,00,1017.50,21.10,82.30,3.70,29.00,6.44,-22.56,41.96
2015,8,6,7,25,00,1017.57,20.80,83.70,3.10,39.00,16.44,-22.56,42.02
2015,8,6,8,25,00,1017.58,20.70,84.60,1.60,20.00,357.44,-22.56,41.32
2015,8,6,9,25,00,1017.91,20.40,86.20,3.60,34.00,11.44,-22.56,41.74
2015,8,6,10,25,00,1018.18,20.50,85.90,4.30,32.00,9.44,-22.56,146.07
2015,8,6,11,25,00,1018.66,20.90,82.60,4.20,35.00,12.44,-22.56,296.12
2015,8,6,12,25,00,1019.15,21.20,83.70,5.30,360.00,337.44,-22.56,340.54
2015,8,6,13,25,00,1018.98,21.70,84.70,6.10,0.00,337.44,-22.56,593.64
2015,8,6,14,25,00,1018.15,22.30,83.80,6.20,355.00,332.44,-22.56,719.61
2015,8,6,15,25,00,1017.30,23.20,77.30,5.70,347.00,324.44,-22.56,739.97
2015,8,6,16,25,00,1016.65,24.20,72.60,2.30,157.00,134.44,-22.56,702.62
2015,8,6,17,25,00,1015.80,23.70,83.80,3.00,156.00,133.44,-22.56,445.78
2015,8,6,18,25,00,1015.39,24.10,82.90,4.00,150.00,127.44,-22.56,285.17
2015,8,6,19,25,00,1015.11,24.20,81.10,7.10,136.00,113.44,-22.56,308.77
2015,8,6,20,25,00,1015.37,23.80,83.90,6.60,140.00,117.44,-22.56,94.46
2015,8,6,21,25,00,1015.42,23.80,81.40,5.20,132.00,109.44,-22.56,45.14
2015,8,6,22,25,00,1015.45,23.40,83.10,5.10,116.00,93.44,-22.56,43.72
2015,8,6,23,25,00,1015.89,23.40,79.30,0.90,238.00,215.44,-22.56,44.51
2015,8,7,0,25,00,1016.00,22.80,85.80,0.70,218.00,195.44,-22.56,46.16
2015,8,7,1,25,00,1016.20,22.50,88.00,1.70,321.00,298.44,-22.56,42.86
2015,8,7,2,25,00,1016.24,23.00,75.30,1.90,22.00,359.44,-22.56,43.71
2015,8,7,3,25,00,1016.04,22.50,78.90,4.70,33.00,10.44,-22.56,41.42
2015,8,7,4,25,00,1016.03,22.10,80.90,3.20,41.00,18.44,-22.56,42.26
2015,8,7,5,25,00,1016.02,21.90,81.60,3.10,36.00,13.44,-22.56,43.49
2015,8,7,6,25,00,1015.91,21.90,79.30,3.60,36.00,13.44,-22.56,40.41
2015,8,7,7,25,00,1016.12,21.50,81.60,3.70,36.00,13.44,-22.56,40.44
2015,8,7,8,25,00,1016.34,21.10,83.30,1.60,49.00,26.44,-22.56,41.76
2015,8,7,9,25,00,1016.44,21.20,82.10,4.40,15.00,352.44,-22.56,45.13
2015,8,7,10,25,00,1016.96,21.20,82.70,3.90,6.00,343.44,-22.56,123.45
2015,8,7,11,25,00,1017.77,21.90,80.70,2.80,46.00,23.44,-22.56,318.77
2015,8,7,12,25,00,1018.41,22.80,79.30,1.60,16.00,353.44,-22.56,488.73
2015,8,7,13,25,00,1018.22,22.30,81.70,3.00,355.00,332.44,-22.56,640.97
2015,8,7,14,25,00,1017.84,22.90,79.30,1.70,134.00,111.44,-22.56,722.58
2015,8,7,15,25,00,1017.10,23.50,81.60,4.10,147.00,124.44,-22.56,770.52
2015,8,7,16,25,00,1016.27,23.80,82.10,6.10,139.00,116.44,-22.56,706.42
2015,8,7,17,25,00,1015.71,23.90,82.00,7.50,138.00,115.44,-22.56,648.02
2015,8,7,18,25,00,1015.46,23.90,81.50,6.50,139.00,116.44,-22.56,484.62
2015,8,7,19,25,00,1015.52,25.50,73.00,5.60,120.00,97.44,-22.56,227.26
2015,8,7,20,25,00,1015.84,24.90,75.20,5.30,127.00,104.44,-22.56,102.03
2015,8,7,21,25,00,1016.19,24.00,79.90,5.00,122.00,99.44,-22.56,45.96
2015,8,7,22,25,00,1016.96,23.90,79.40,2.30,111.00,88.44,-22.56,44.56
2015,8,7,23,25,00,1017.22,23.70,74.40,1.00,126.00,103.44,-22.56,43.69
2015,8,8,0,25,00,1017.41,23.20,83.00,1.30,167.00,144.44,-22.56,47.00
2015,8,8,1,25,00,1017.82,23.30,80.30,1.50,50.00,27.44,-22.56,44.15
2015,8,8,2,25,00,1018.26,22.90,81.40,1.30,160.00,137.44,-22.56,44.05
2015,8,8,3,25,00,1018.65,22.60,81.50,0.80,35.00,12.44,-22.56,42.47
2015,8,8,4,25,00,1018.34,22.10,82.70,1.70,41.00,18.44,-22.56,42.30
2015,8,8,5,25,00,1017.97,22.70,72.50,2.80,42.00,19.44,-22.56,42.75
2015,8,8,6,25,00,1017.74,22.10,75.90,3.90,22.00,359.44,-22.56,44.02
2015,8,8,7,25,00,1017.57,22.00,76.90,1.60,30.00,7.44,-22.56,45.01
2015,8,8,8,25,00,1017.31,21.70,78.80,4.60,24.00,1.44,-22.56,45.45
2015,8,8,9,25,00,1018.10,21.40,80.70,2.60,18.00,355.44,-22.56,45.74
2015,8,8,10,25,00,1018.78,21.60,79.70,2.70,19.00,356.44,-22.56,132.59
2015,8,8,11,25,00,1019.70,22.30,78.20,0.60,50.00,27.44,-22.56,295.53
2015,8,8,12,25,00,1020.24,22.30,77.90,1.50,185.00,162.44,-22.56,510.88
2015,8,8,13,25,00,1020.31,22.70,72.90,1.20,150.00,127.44,-22.56,653.99
2015,8,8,14,25,00,1020.32,23.30,73.40,1.20,157.00,134.44,-22.56,732.36
2015,8,8,15,25,00,1019.87,23.10,81.30,4.20,154.00,131.44,-22.56,761.56
2015,8,8,17,25,00,1018.04,23.20,80.40,7.70,139.00,116.44,-22.56,609.63
2015,8,8,18,25,00,1017.62,24.00,78.70,6.20,139.00,116.44,-22.56,484.79
2015,8,8,19,25,00,1017.61,23.70,77.90,8.00,117.00,94.44,-22.56,258.10
2015,8,8,20,25,00,1017.90,23.00,80.80,8.30,108.00,85.44,-22.56,87.79
2015,8,8,21,25,00,1018.33,22.50,82.20,5.20,107.00,84.44,-22.56,44.20
2015,8,8,22,25,00,1019.16,22.50,83.70,3.20,149.00,126.44,-22.56,42.97
2015,8,8,23,25,00,1019.54,22.60,79.80,2.40,103.00,80.44,-22.56,44.93
2015,8,9,0,25,00,1019.97,22.20,79.90,2.50,60.00,37.44,-22.56,43.03
2015,8,9,2,25,00,1020.75,21.80,82.90,0.90,327.00,304.44,-22.56,42.69
2015,8,9,3,25,00,1020.59,22.10,76.60,2.30,47.00,24.44,-22.56,44.15
2015,8,9,4,25,00,1020.52,21.60,79.90,3.30,90.00,67.44,-22.56,44.73
2015,8,9,5,25,00,1020.56,21.40,81.00,3.20,73.00,50.44,-22.56,44.33
2015,8,9,6,25,00,1020.30,21.40,78.20,3.30,70.00,47.44,-22.56,44.33
2015,8,9,7,25,00,1020.23,21.40,77.20,3.80,37.00,14.44,-22.56,41.88
2015,8,9,8,25,00,1020.46,21.30,79.00,2.50,50.00,27.44,-22.56,43.02
2015,8,9,9,25,00,1021.31,21.00,80.70,3.20,28.00,5.44,-22.56,44.66
2015,8,9,10,25,00,1022.14,20.70,85.40,3.40,147.00,124.44,-22.56,78.09
2015,8,9,11,25,00,1023.20,21.40,81.40,0.90,331.00,308.44,-22.56,258.25
2015,8,9,12,25,00,1023.90,21.60,81.10,1.70,231.00,208.44,-22.56,554.90
2015,8,9,13,25,00,1023.54,21.60,80.00,1.90,254.00,231.44,-22.56,480.04
2015,8,9,14,25,00,1022.62,22.00,78.60,2.20,222.00,199.44,-22.56,542.40
2015,8,9,15,25,00,1021.72,22.70,79.30,2.20,244.00,221.44,-22.56,793.09
2015,8,9,16,25,00,1020.84,23.50,68.60,5.50,131.00,108.44,-22.56,598.26
2015,8,9,17,25,00,1019.72,22.90,72.90,7.80,123.00,100.44,-22.56,409.24
2015,8,9,19,25,00,1019.92,22.10,76.80,7.50,117.00,94.44,-22.56,84.90
2015,8,9,20,25,00,1020.07,22.50,74.30,8.00,117.00,94.44,-22.56,99.42
2015,8,9,21,25,00,1020.77,21.80,81.20,5.30,127.00,104.44,-22.56,44.51
2015,8,9,22,25,00,1021.73,22.30,78.30,3.40,124.00,101.44,-22.56,43.19
2015,8,9,23,25,00,1022.37,22.20,76.80,4.60,126.00,103.44,-22.56,43.08
2015,8,10,0,25,00,1022.52,22.20,73.50,6.80,101.00,78.44,-22.56,43.46
2015,8,10,1,25,00,1022.96,22.00,75.80,5.60,105.00,82.44,-22.56,43.28
