/SiMCosta RJ-3 buoy 
/L1 data
/missing = NULL
/latitude = -22.983083
/longitude = -43.174472
/Sensor Mount = Buoy
/Acknowledging or Crediting SiMCosta as Information Source : (Product or data name) courtesy of the Brazilian Coastal Monitoring System - SiMCosta  (www.simcosta.furg.br)
/Disclaimer: All products published on this website are not intended to be used for navigational or operational purposes.
/*Magnetic Declination Reference: Chulliat, A., S. Macmillan, P. Alken, C. Beggan, M. Nair, B. Hamilton, A. Woods, V. Ridley, S. Maus and A. Thomson, 2014. The US/UK World Magnetic Model for 2015-2020, NOAA National Geophysical Data Center, Boulder, CO, doi: 10.7289/V5TH8JNW 
/YEAR MONTH DAY HOUR MINUTE SECOND: Date/Time Data Acquisition (UTC)
/Avg_Air_Press: Average Air Pressure (mb)
/Avg_Air_Tmp: Average Air Temperature (degree Celsius)
/Avg_Hmt: Average Humidity (%)
/Avg_Wnd_Sp: Average Wind Speed (m/s)
/Avg_Wnd_Dir: Average Wind Direction (degree, magnetic north)
/Avg_Wnd_Dir_N: Average Wind Direction (degree, true north)
/M_Decl: Magnetic Declination (degree)
YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,Avg_Air_Press,Avg_Air_Tmp,Avg_Hmt,Avg_Wnd_Sp,Avg_Wnd_Dir,Avg_Wnd_Dir_N,M_Decl
2016,7,17,0,25,00,1012.72,22.20,88.70,7.60,255.00,232.37,-22.63
2016,7,17,1,25,00,1014.53,21.70,82.60,11.00,259.00,236.37,-22.63
2016,7,17,2,25,00,1015.24,21.30,79.90,10.40,256.00,233.37,-22.63
2016,7,17,3,25,00,1015.54,21.20,79.40,10.20,254.00,231.37,-22.63
2016,7,17,4,25,00,1015.10,20.80,79.00,9.80,259.00,236.37,-22.63
2016,7,17,5,25,00,1014.79,21.00,70.60,11.20,255.00,232.37,-22.63
2016,7,17,6,25,00,1014.63,20.70,71.10,9.70,252.00,229.37,-22.63
2016,7,17,7,25,00,1014.78,19.90,69.00,8.50,256.00,233.37,-22.63
2016,7,17,8,25,00,1014.91,19.90,72.40,8.60,262.00,239.37,-22.63
2016,7,17,9,25,00,1015.49,20.30,66.70,9.50,248.00,225.37,-22.63
2016,7,17,10,25,00,1016.40,19.50,69.80,9.60,259.00,236.37,-22.63
2016,7,17,11,25,00,1017.34,20.20,62.90,8.80,256.00,233.37,-22.63
2016,7,17,12,25,00,1018.13,20.00,69.10,9.10,257.00,234.37,-22.63
2016,7,17,13,25,00,1018.44,20.10,60.20,8.20,269.00,246.37,-22.63
2016,7,17,14,25,00,1018.10,20.10,65.10,7.70,258.00,235.37,-22.63
2016,7,17,15,25,00,1017.43,20.00,68.20,6.90,263.00,240.37,-22.63
2016,7,17,16,25,00,1016.51,19.70,67.60,8.20,260.00,237.37,-22.63
2016,7,17,17,25,00,1016.08,19.70,68.30,7.60,261.00,238.37,-22.63
2016,7,17,18,25,00,1015.99,19.60,69.20,8.00,255.00,232.37,-22.63
2016,7,17,19,25,00,1015.97,19.50,68.80,8.90,255.00,232.37,-22.63
2016,7,17,20,25,00,1016.61,19.20,70.20,9.30,258.00,235.37,-22.63
2016,7,17,21,25,00,1017.26,19.10,70.40,7.70,257.00,234.37,-22.63
2016,7,17,22,25,00,1017.83,19.10,70.70,7.40,256.00,233.37,-22.63
2016,7,17,23,25,00,1018.49,19.20,69.50,7.90,247.00,224.37,-22.63
2016,7,18,0,25,00,1019.25,19.10,69.90,8.20,246.00,223.37,-22.63
2016,7,18,1,25,00,1019.75,19.10,69.60,8.00,247.00,224.37,-22.63
2016,7,18,2,25,00,1019.83,19.00,70.30,8.30,250.00,227.37,-22.63
2016,7,18,3,25,00,1019.93,18.90,68.10,9.10,248.00,225.37,-22.63
2016,7,18,4,25,00,1019.84,18.90,65.90,8.10,246.00,223.37,-22.63
2016,7,18,5,25,00,1019.83,18.90,62.30,8.30,252.00,229.37,-22.63
2016,7,18,6,25,00,1020.06,18.90,61.40,7.20,250.00,227.37,-22.63
2016,7,18,7,25,00,1019.84,18.80,61.50,7.40,264.00,241.37,-22.63
2016,7,18,8,25,00,1019.75,18.70,60.00,6.80,259.00,236.37,-22.63
2016,7,18,9,25,00,1020.07,18.60,58.60,6.60,252.00,229.37,-22.63
2016,7,18,10,25,00,1021.34,18.60,58.50,7.00,248.00,225.37,-22.63
2016,7,18,11,25,00,1022.18,18.60,55.90,5.80,254.00,231.37,-22.63
2016,7,18,12,25,00,1022.95,18.60,56.40,5.10,249.00,226.37,-22.63
2016,7,18,13,25,00,1023.32,18.70,55.30,5.20,249.00,226.37,-22.63
2016,7,18,14,25,00,1023.12,18.70,56.60,5.40,252.00,229.37,-22.63
2016,7,18,15,25,00,1022.23,18.80,57.20,5.70,259.00,236.37,-22.63
2016,7,18,16,25,00,1021.67,18.80,58.10,6.40,252.00,229.37,-22.63
2016,7,18,17,25,00,1021.08,18.80,57.00,6.10,260.00,237.37,-22.63
2016,7,18,18,25,00,1020.91,18.90,58.10,6.30,257.00,234.37,-22.63
2016,7,18,19,25,00,1021.07,19.00,58.40,5.60,248.00,225.37,-22.63
2016,7,18,20,25,00,1021.47,18.90,57.30,5.70,247.00,224.37,-22.63
2016,7,18,21,25,00,1021.89,19.00,59.30,5.60,246.00,223.37,-22.63
2016,7,18,22,25,00,1022.53,19.10,58.50,4.80,263.00,240.37,-22.63
2016,7,18,23,25,00,1023.22,19.00,60.50,3.80,265.00,242.37,-22.63
2016,7,19,0,25,00,1023.91,18.90,61.90,5.20,257.00,234.37,-22.63
2016,7,19,1,25,00,1024.23,18.90,59.50,5.10,255.00,232.37,-22.63
2016,7,19,2,25,00,1024.04,18.80,59.90,5.30,251.00,228.37,-22.63
2016,7,19,3,25,00,1023.96,18.50,61.70,3.40,308.00,285.37,-22.63
2016,7,19,4,25,00,1023.36,18.20,63.60,3.30,285.00,262.37,-22.63
2016,7,19,5,25,00,1022.71,18.00,63.90,2.80,285.00,262.37,-22.63
2016,7,19,7,25,00,1022.08,17.90,63.70,1.90,320.00,297.37,-22.63
2016,7,19,8,25,00,1022.30,17.90,63.50,2.10,284.00,261.37,-22.63
2016,7,19,9,25,00,1022.70,17.70,63.50,2.30,320.00,297.37,-22.63
2016,7,19,10,25,00,1023.22,18.00,63.70,2.40,321.00,298.37,-22.63
2016,7,19,11,25,00,1023.36,18.50,57.90,2.10,328.00,305.37,-22.63
2016,7,19,12,25,00,1023.59,19.00,60.30,1.70,58.00,35.37,-22.63
2016,7,19,13,25,00,1023.73,19.10,66.00,2.90,98.00,75.37,-22.63
2016,7,19,14,25,00,1024.16,18.90,61.50,4.30,249.00,226.37,-22.63
2016,7,19,15,25,00,1023.28,19.00,63.00,3.80,270.00,247.37,-22.63
2016,7,19,16,25,00,1021.81,19.00,66.10,3.20,253.00,230.37,-22.63
2016,7,19,17,25,00,1020.86,19.00,66.50,2.40,221.00,198.37,-22.63
2016,7,19,18,25,00,1020.39,19.00,67.30,2.90,250.00,227.37,-22.63
2016,7,19,19,25,00,1020.24,19.20,66.20,1.30,205.00,182.37,-22.63
2016,7,19,21,25,00,1020.67,19.30,64.80,1.90,150.00,127.37,-22.63
2016,7,19,22,25,00,1020.80,19.40,65.50,1.70,155.00,132.37,-22.63
2016,7,19,23,25,00,1021.40,19.30,67.20,1.80,257.00,234.37,-22.63
2016,7,20,0,25,00,1021.41,19.50,68.40,1.60,162.00,139.37,-22.63
2016,7,20,1,25,00,1021.55,19.60,68.30,1.90,139.00,116.37,-22.63
2016,7,20,2,25,00,1021.40,19.50,69.10,1.40,132.00,109.37,-22.63
2016,7,20,3,25,00,1021.05,19.50,69.80,0.90,133.00,110.37,-22.63
2016,7,20,4,25,00,1020.31,19.50,71.80,1.70,38.00,15.37,-22.63
2016,7,20,5,25,00,1019.56,19.20,74.20,3.20,17.00,354.37,-22.63
2016,7,20,6,25,00,1019.00,18.70,76.20,2.40,13.00,350.37,-22.63
2016,7,20,7,25,00,1019.01,18.80,74.40,1.50,2.00,339.37,-22.63
2016,7,20,8,25,00,1019.26,19.20,70.10,1.50,263.00,240.37,-22.63
2016,7,20,9,25,00,1019.83,19.30,72.70,2.00,291.00,268.37,-22.63
2016,7,20,10,25,00,1020.36,19.40,70.80,1.80,310.00,287.37,-22.63
2016,7,20,11,25,00,1021.16,19.50,70.50,1.60,17.00,354.37,-22.63
2016,7,20,12,25,00,1021.70,19.80,70.00,2.20,273.00,250.37,-22.63
2016,7,20,13,25,00,1021.85,19.90,68.40,2.90,264.00,241.37,-22.63
2016,7,20,14,25,00,1021.50,19.10,77.90,5.20,272.00,249.37,-22.63
2016,7,20,15,25,00,1021.04,19.30,76.40,7.10,271.00,248.37,-22.63
2016,7,20,17,25,00,1019.97,19.00,81.90,7.60,264.00,241.37,-22.63
2016,7,20,18,25,00,1019.85,19.00,79.70,6.40,256.00,233.37,-22.63
2016,7,20,19,25,00,1020.12,19.00,77.40,7.70,268.00,245.37,-22.63
2016,7,20,20,25,00,1020.69,19.20,74.20,7.50,263.00,240.37,-22.63
2016,7,20,21,25,00,1020.78,19.30,71.30,7.90,261.00,238.37,-22.63
2016,7,20,22,25,00,1021.36,19.30,71.10,7.40,262.00,239.37,-22.63
2016,7,20,23,25,00,1021.75,19.50,70.10,5.10,277.00,254.37,-22.63
2016,7,21,0,25,00,1021.77,19.30,70.40,3.30,293.00,270.37,-22.63
2016,7,21,1,25,00,1022.07,19.20,70.80,2.90,287.00,264.37,-22.63
2016,7,21,2,25,00,1022.01,19.40,71.60,2.50,312.00,289.37,-22.63
2016,7,21,3,25,00,1021.77,19.50,72.90,2.60,287.00,264.37,-22.63
2016,7,21,4,25,00,1020.98,19.40,76.10,4.40,273.00,250.37,-22.63
2016,7,21,5,25,00,1020.27,19.30,76.40,4.00,290.00,267.37,-22.63
2016,7,21,6,25,00,1019.96,19.30,74.70,2.20,325.00,302.37,-22.63
2016,7,21,7,25,00,1019.86,19.30,76.70,3.70,288.00,265.37,-22.63
2016,7,21,8,25,00,1019.63,19.20,77.90,4.20,283.00,260.37,-22.63
2016,7,21,9,25,00,1020.19,19.20,78.00,4.30,276.00,253.37,-22.63
2016,7,21,10,25,00,1020.89,19.30,76.50,3.60,286.00,263.37,-22.63
2016,7,21,11,25,00,1021.51,19.40,75.10,2.50,312.00,289.37,-22.63
2016,7,21,12,25,00,1022.07,19.40,75.20,3.00,292.00,269.37,-22.63
2016,7,21,13,25,00,1022.18,19.60,74.80,3.80,284.00,261.37,-22.63
2016,7,21,14,25,00,1021.85,19.80,74.00,1.60,287.00,264.37,-22.63
2016,7,21,15,25,00,1021.40,19.70,74.90,4.80,267.00,244.37,-22.63
2016,7,21,16,25,00,1020.75,19.10,81.30,5.10,272.00,249.37,-22.63
2016,7,21,17,25,00,1020.15,19.20,78.20,4.10,285.00,262.37,-22.63
2016,7,21,18,25,00,1020.01,18.80,83.80,5.30,270.00,247.37,-22.63
2016,7,21,19,25,00,1020.06,18.50,86.80,3.50,252.00,229.37,-22.63
2016,7,21,20,25,00,1020.40,18.50,85.40,3.20,239.00,216.37,-22.63
2016,7,21,21,25,00,1020.78,18.70,85.20,4.20,257.00,234.37,-22.63
2016,7,21,22,25,00,1021.26,18.40,83.60,1.30,249.00,226.37,-22.63
2016,7,21,23,25,00,1021.81,18.20,88.50,2.00,232.00,209.37,-22.63
2016,7,22,0,25,00,1022.32,17.70,90.60,0.80,137.00,114.37,-22.63
2016,7,22,1,25,00,1022.47,17.60,92.40,1.60,39.00,16.37,-22.63
2016,7,22,2,25,00,1022.50,18.00,86.50,1.50,90.00,67.37,-22.63
2016,7,22,3,25,00,1022.69,18.60,85.30,1.80,43.00,20.37,-22.63
2016,7,22,4,25,00,1022.44,18.50,87.30,3.50,20.00,357.37,-22.63
2016,7,22,5,25,00,1021.71,18.60,86.30,3.80,24.00,1.37,-22.63
2016,7,22,6,25,00,1021.55,18.50,85.90,4.30,17.00,354.37,-22.63
2016,7,22,7,25,00,1021.43,18.30,85.30,2.60,11.00,348.37,-22.63
2016,7,22,8,25,00,1021.70,18.50,83.00,2.60,15.00,352.37,-22.63
2016,7,22,9,25,00,1022.19,18.60,83.70,2.50,3.00,340.37,-22.63
2016,7,22,10,25,00,1023.01,18.60,83.20,2.60,8.00,345.37,-22.63
2016,7,22,11,25,00,1023.44,18.80,79.80,1.80,323.00,300.37,-22.63
2016,7,22,12,25,00,1024.28,19.10,77.00,1.40,2.00,339.37,-22.63
2016,7,22,13,25,00,1024.46,19.50,73.60,0.90,308.00,285.37,-22.63
2016,7,22,14,25,00,1024.08,19.90,73.10,2.90,266.00,243.37,-22.63
2016,7,22,15,25,00,1023.63,19.80,72.70,3.10,258.00,235.37,-22.63
2016,7,22,16,25,00,1022.71,19.90,71.50,3.80,260.00,237.37,-22.63
2016,7,22,17,25,00,1021.78,20.20,66.90,4.00,247.00,224.37,-22.63
2016,7,22,18,25,00,1021.52,19.90,69.60,4.20,263.00,240.37,-22.63
2016,7,22,19,25,00,1021.54,20.00,69.50,3.70,265.00,242.37,-22.63
2016,7,22,20,25,00,1021.85,19.90,69.30,3.20,265.00,242.37,-22.63
2016,7,22,21,25,00,1022.09,20.00,69.30,3.10,277.00,254.37,-22.63
2016,7,22,22,25,00,1022.65,20.10,68.90,2.20,281.00,258.37,-22.63
2016,7,22,23,25,00,1023.27,20.10,67.90,1.60,267.00,244.37,-22.63
2016,7,23,0,25,00,1023.63,20.20,67.20,1.20,309.00,286.37,-22.63
2016,7,23,1,25,00,1023.95,19.70,79.50,5.50,30.00,7.37,-22.63
2016,7,23,2,25,00,1023.95,19.20,81.90,4.00,35.00,12.37,-22.63
2016,7,23,3,25,00,1023.53,19.30,81.20,3.30,36.00,13.37,-22.63
2016,7,23,4,25,00,1023.48,19.00,80.50,3.30,39.00,16.37,-22.63
2016,7,23,5,25,00,1022.85,18.90,78.80,1.90,17.00,354.37,-22.63
2016,7,23,6,25,00,1022.41,18.90,79.50,1.40,32.00,9.37,-22.63
2016,7,23,7,25,00,1022.19,18.90,78.90,1.70,24.00,1.37,-22.63
2016,7,23,8,25,00,1022.37,19.10,74.70,1.50,34.00,11.37,-22.63
2016,7,23,9,25,00,1022.76,19.20,73.40,1.80,23.00,0.37,-22.63
2016,7,23,10,25,00,1022.91,19.30,75.30,2.20,23.00,0.37,-22.63
2016,7,23,11,25,00,1023.25,19.70,71.90,1.70,21.00,358.37,-22.63
2016,7,23,12,25,00,1023.98,20.20,71.30,2.50,31.00,8.37,-22.63
2016,7,23,13,25,00,1024.06,20.50,71.00,1.20,83.00,60.37,-22.63
2016,7,23,14,25,00,1023.70,20.40,71.90,1.80,179.00,156.37,-22.63
2016,7,23,15,25,00,1022.89,21.10,73.20,0.70,133.00,110.37,-22.63
2016,7,23,16,25,00,1021.81,21.60,79.50,5.20,130.00,107.37,-22.63
2016,7,23,17,25,00,1020.78,21.60,79.70,6.40,131.00,108.37,-22.63
2016,7,23,18,25,00,1020.30,21.70,80.30,6.80,136.00,113.37,-22.63
2016,7,23,19,25,00,1020.32,21.60,80.60,7.90,128.00,105.37,-22.63
2016,7,23,20,25,00,1020.34,21.50,81.30,7.70,120.00,97.37,-22.63
2016,7,23,21,25,00,1020.54,21.70,79.60,4.10,101.00,78.37,-22.63
2016,7,23,22,25,00,1021.04,21.40,79.70,2.30,87.00,64.37,-22.63
2016,7,24,0,25,00,1021.68,21.00,78.00,2.90,81.00,58.37,-22.63
2016,7,24,1,25,00,1021.74,21.00,77.60,2.40,70.00,47.37,-22.63
2016,7,24,2,25,00,1021.30,20.90,75.70,3.20,47.00,24.37,-22.63
2016,7,24,3,25,00,1020.93,20.80,75.20,3.20,47.00,24.37,-22.63
2016,7,24,4,25,00,1020.50,20.50,77.40,2.50,50.00,27.37,-22.63
2016,7,24,5,25,00,1019.89,20.20,79.10,3.80,49.00,26.37,-22.63
2016,7,24,6,25,00,1019.53,20.20,78.40,2.40,34.00,11.37,-22.63
2016,7,24,7,25,00,1019.33,19.90,79.80,3.40,26.00,3.37,-22.63
2016,7,24,8,25,00,1019.62,20.10,78.80,2.70,44.00,21.37,-22.63
2016,7,24,9,25,00,1020.36,19.90,78.20,2.20,29.00,6.37,-22.63
2016,7,24,10,25,00,1020.65,19.80,84.00,4.10,79.00,56.37,-22.63
2016,7,24,11,25,00,1021.03,20.20,79.70,4.80,90.00,67.37,-22.63
2016,7,24,12,25,00,1021.09,21.00,76.20,4.60,86.00,63.37,-22.63
2016,7,24,14,25,00,1020.35,24.20,58.30,6.20,41.00,18.37,-22.63
2016,7,24,15,25,00,1019.62,25.10,54.90,5.40,42.00,19.37,-22.63
2016,7,24,16,25,00,1018.74,26.00,49.40,4.50,51.00,28.37,-22.63
2016,7,24,17,25,00,1018.17,23.30,72.60,5.60,132.00,109.37,-22.63
2016,7,24,18,25,00,1018.09,22.50,83.00,4.50,135.00,112.37,-22.63
2016,7,24,19,25,00,1018.15,22.90,80.90,4.10,125.00,102.37,-22.63
2016,7,24,20,25,00,1018.35,22.80,81.60,2.10,82.00,59.37,-22.63
2016,7,24,21,25,00,1018.52,22.80,81.00,1.40,138.00,115.37,-22.63
2016,7,24,22,25,00,1018.91,21.80,89.10,7.70,259.00,236.37,-22.63
2016,7,24,23,25,00,1019.15,20.80,93.00,8.90,261.00,238.37,-22.63
2016,7,25,0,25,00,1019.42,20.60,93.10,7.90,261.00,238.37,-22.63
2016,7,25,1,25,00,1019.81,20.40,93.10,7.10,261.00,238.37,-22.63
2016,7,25,2,25,00,1020.07,20.50,92.50,6.30,252.00,229.37,-22.63
2016,7,25,3,25,00,1019.85,20.80,85.10,7.50,257.00,234.37,-22.63
2016,7,25,4,25,00,1019.87,20.60,87.50,8.10,263.00,240.37,-22.63
2016,7,25,5,25,00,1019.80,20.60,85.60,6.50,264.00,241.37,-22.63
2016,7,25,6,25,00,1019.74,20.60,82.70,2.40,242.00,219.37,-22.63
2016,7,25,7,25,00,1019.82,20.50,86.00,1.90,132.00,109.37,-22.63
2016,7,25,8,25,00,1020.02,20.30,85.60,4.20,265.00,242.37,-22.63
2016,7,25,9,25,00,1020.62,20.10,85.30,3.80,263.00,240.37,-22.63
2016,7,25,10,25,00,1021.05,20.00,85.40,3.30,262.00,239.37,-22.63
2016,7,25,11,25,00,1021.62,20.20,83.20,2.80,250.00,227.37,-22.63
2016,7,25,12,25,00,1022.23,20.30,82.40,4.30,253.00,230.37,-22.63
2016,7,25,13,25,00,1022.52,20.50,81.80,4.50,250.00,227.37,-22.63
2016,7,25,14,25,00,1022.15,20.70,80.90,5.30,250.00,227.37,-22.63
2016,7,25,15,25,00,1021.51,21.10,79.10,5.60,253.00,230.37,-22.63
2016,7,25,16,25,00,1020.67,21.10,79.10,5.90,251.00,228.37,-22.63
2016,7,25,17,25,00,1020.35,20.80,80.50,5.90,241.00,218.37,-22.63
2016,7,25,18,25,00,1020.08,20.90,80.40,5.00,243.00,220.37,-22.63
2016,7,25,19,25,00,1020.14,20.90,80.10,5.00,249.00,226.37,-22.63
2016,7,25,20,25,00,1020.37,20.80,80.90,4.00,250.00,227.37,-22.63
2016,7,25,21,25,00,1020.59,20.70,80.90,2.50,262.00,239.37,-22.63
2016,7,25,22,25,00,1020.96,20.70,80.80,2.10,256.00,233.37,-22.63
2016,7,25,23,25,00,1020.90,20.70,81.20,2.20,271.00,248.37,-22.63
2016,7,26,0,25,00,1020.91,20.60,83.90,1.10,246.00,223.37,-22.63
2016,7,26,1,25,00,1021.05,20.40,82.20,0.50,255.00,232.37,-22.63
2016,7,26,2,25,00,1020.69,20.60,82.20,0.50,145.00,122.37,-22.63
2016,7,26,3,25,00,1020.49,20.40,83.40,0.30,196.00,173.37,-22.63
2016,7,26,4,25,00,1019.82,20.30,85.20,1.50,77.00,54.37,-22.63
2016,7,26,5,25,00,1019.21,20.50,86.30,3.00,77.00,54.37,-22.63
2016,7,26,6,25,00,1018.91,20.90,83.10,3.30,39.00,16.37,-22.63
2016,7,26,7,25,00,1018.68,20.50,85.30,3.20,77.00,54.37,-22.63
2016,7,26,12,25,00,1019.61,20.30,84.80,3.90,55.00,32.37,-22.63
2016,7,26,13,25,00,1019.39,21.60,76.80,2.30,65.00,42.37,-22.63
2016,7,26,14,25,00,1018.82,21.50,80.30,2.40,128.00,105.37,-22.63
2016,7,26,15,25,00,1018.26,21.30,81.10,1.50,172.00,149.37,-22.63
2016,7,26,16,25,00,1017.13,21.00,85.00,1.90,157.00,134.37,-22.63
2016,7,26,17,25,00,1016.43,21.20,85.00,1.00,131.00,108.37,-22.63
2016,7,26,18,25,00,1015.84,22.80,77.10,0.30,70.00,47.37,-22.63
2016,7,26,19,25,00,1015.44,23.10,73.60,0.70,297.00,274.37,-22.63
2016,7,26,20,25,00,1015.26,23.50,72.90,1.10,310.00,287.37,-22.63
2016,7,26,21,25,00,1015.28,23.00,75.30,1.00,255.00,232.37,-22.63
2016,7,26,22,25,00,1015.46,23.20,74.00,0.90,316.00,293.37,-22.63
2016,7,26,23,25,00,1015.84,22.50,75.70,0.90,16.00,353.37,-22.63
2016,7,27,0,25,00,1015.85,24.10,66.30,3.20,92.00,69.37,-22.63
2016,7,27,1,25,00,1015.95,23.00,72.30,4.00,109.00,86.37,-22.63
2016,7,27,2,25,00,1016.17,22.40,78.80,3.00,107.00,84.37,-22.63
2016,7,27,3,25,00,1015.84,23.80,67.20,1.70,142.00,119.37,-22.63
2016,7,27,4,25,00,1015.24,23.70,63.40,5.70,15.00,352.37,-22.63
2016,7,27,5,25,00,1014.13,23.20,66.70,7.80,17.00,354.37,-22.63
2016,7,27,7,25,00,1013.05,25.70,48.80,5.40,20.00,357.37,-22.63
2016,7,27,8,25,00,1012.60,26.40,45.30,6.20,24.00,1.37,-22.63
2016,7,27,9,25,00,1012.85,26.30,42.20,6.50,15.00,352.37,-22.63
2016,7,27,10,25,00,1013.20,28.60,34.30,7.50,10.00,347.37,-22.63
2016,7,27,11,25,00,1013.81,29.00,33.40,7.30,6.00,343.37,-22.63
2016,7,27,12,25,00,1014.58,28.40,38.80,6.10,28.00,5.37,-22.63
2016,7,27,13,25,00,1014.54,29.50,33.60,5.40,359.00,336.37,-22.63
2016,7,27,14,25,00,1014.02,29.60,36.60,5.40,16.00,353.37,-22.63
2016,7,27,15,25,00,1013.50,30.20,34.10,3.70,0.00,337.37,-22.63
2016,7,27,16,25,00,1013.18,28.80,50.10,4.50,227.00,204.37,-22.63
2016,7,27,17,25,00,1014.95,24.30,64.30,9.20,277.00,254.37,-22.63
